Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sort,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_method,source_name,SRA Study,strain,treatment
SRR3110998,RNA-Seq,182,1304474626,PRJNA309383,SAMN04432287,596846846,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539310,GFP+,GSM2043241,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043241,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3110999,RNA-Seq,182,896496146,PRJNA309383,SAMN04432288,394029828,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539311,GFP+,GSM2043242,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043242,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111000,RNA-Seq,182,607460490,PRJNA309383,SAMN04432289,254293815,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539312,GFP+,GSM2043243,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043243,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111001,RNA-Seq,182,2461732,PRJNA309383,SAMN04432290,1056444,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539313,GFP+,GSM2043244,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043244,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111002,RNA-Seq,182,811471934,PRJNA309383,SAMN04432291,352464501,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539314,GFP+,GSM2043245,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043245,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111003,RNA-Seq,182,823877054,PRJNA309383,SAMN04432292,379070041,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539315,GFP+,GSM2043246,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043246,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111004,RNA-Seq,182,921936288,PRJNA309383,SAMN04432224,410727903,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539316,GFP+,GSM2043247,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043247,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111005,RNA-Seq,182,1033873022,PRJNA309383,SAMN04432225,480162499,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539317,GFP+,GSM2043248,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043248,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111006,RNA-Seq,182,1451964514,PRJNA309383,SAMN04432226,654250848,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539318,GFP+,GSM2043249,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043249,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111007,RNA-Seq,182,1109721340,PRJNA309383,SAMN04432227,493988108,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539319,GFP+,GSM2043250,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043250,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111008,RNA-Seq,182,599953718,PRJNA309383,SAMN04432293,287425670,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539320,GFP+,GSM2043251,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043251,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111009,RNA-Seq,182,580690474,PRJNA309383,SAMN04432294,247107067,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539321,GFP+,GSM2043252,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043252,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111010,RNA-Seq,182,686600096,PRJNA309383,SAMN04432295,289134203,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539322,GFP+,GSM2043253,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043253,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111011,RNA-Seq,182,1176705166,PRJNA309383,SAMN04432296,537790304,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539323,GFP+,GSM2043254,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043254,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111012,RNA-Seq,182,1096233502,PRJNA309383,SAMN04432228,479795871,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539324,GFP+,GSM2043255,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043255,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111013,RNA-Seq,182,1401105706,PRJNA309383,SAMN04432229,622840441,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539325,GFP+,GSM2043256,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043256,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111014,RNA-Seq,182,920484656,PRJNA309383,SAMN04432230,432342610,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539326,GFP+,GSM2043257,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043257,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111015,RNA-Seq,182,1247310246,PRJNA309383,SAMN04432231,563460093,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539327,GFP+,GSM2043258,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043258,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111016,RNA-Seq,182,856331294,PRJNA309383,SAMN04432232,393985522,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539328,GFP+,GSM2043259,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043259,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111017,RNA-Seq,182,972733944,PRJNA309383,SAMN04432233,438380528,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539329,GFP+,GSM2043260,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043260,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111018,RNA-Seq,182,2767310,PRJNA309383,SAMN04432234,1222446,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539330,GFP+,GSM2043261,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043261,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111019,RNA-Seq,182,874575520,PRJNA309383,SAMN04432235,391084850,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539331,GFP+,GSM2043262,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043262,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111020,RNA-Seq,182,1306427304,PRJNA309383,SAMN04432236,603149573,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539332,GFP+,GSM2043263,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043263,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111021,RNA-Seq,182,1220999962,PRJNA309383,SAMN04432237,540407111,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539333,GFP+,GSM2043264,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043264,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111022,RNA-Seq,182,1679590640,PRJNA309383,SAMN04432238,766687246,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539334,GFP+,GSM2043265,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043265,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111023,RNA-Seq,182,1279204836,PRJNA309383,SAMN04432239,573309694,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539335,GFP+,GSM2043266,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043266,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111024,RNA-Seq,182,1097374824,PRJNA309383,SAMN04432240,506762784,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539336,GFP+,GSM2043267,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043267,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111025,RNA-Seq,182,1203675564,PRJNA309383,SAMN04432241,539117319,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539337,GFP+,GSM2043268,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043268,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111026,RNA-Seq,182,1405387620,PRJNA309383,SAMN04432242,655399904,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539338,GFP+,GSM2043269,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043269,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111027,RNA-Seq,182,1124841536,PRJNA309383,SAMN04432243,510943677,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539339,GFP+,GSM2043270,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043270,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111028,RNA-Seq,182,974992018,PRJNA309383,SAMN04432244,450327613,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539340,GFP+,GSM2043271,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043271,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111029,RNA-Seq,182,1168846770,PRJNA309383,SAMN04432245,534391453,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539341,GFP+,GSM2043272,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043272,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111030,RNA-Seq,182,543785606,PRJNA309383,SAMN04432246,260144129,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539342,GFP+,GSM2043273,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043273,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111031,RNA-Seq,182,902336890,PRJNA309383,SAMN04432247,402650579,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539343,GFP+,GSM2043274,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043274,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111032,RNA-Seq,182,968710470,PRJNA309383,SAMN04432248,433833712,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539344,GFP+,GSM2043275,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043275,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111033,RNA-Seq,182,790422542,PRJNA309383,SAMN04432249,342997534,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539345,GFP+,GSM2043276,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043276,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111034,RNA-Seq,182,1661096346,PRJNA309383,SAMN04432250,799241550,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539346,GFP+,GSM2043277,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043277,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111035,RNA-Seq,182,1315241018,PRJNA309383,SAMN04432251,597007502,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539347,GFP+,GSM2043278,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043278,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111036,RNA-Seq,182,1486263870,PRJNA309383,SAMN04432252,688275280,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539348,GFP+,GSM2043279,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043279,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111037,RNA-Seq,182,1334306792,PRJNA309383,SAMN04432253,599797428,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539349,GFP+,GSM2043280,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043280,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111038,RNA-Seq,182,1259148254,PRJNA309383,SAMN04432327,580209702,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539350,GFP+,GSM2043281,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043281,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111039,RNA-Seq,182,1025783486,PRJNA309383,SAMN04432328,461549902,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539351,GFP+,GSM2043282,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043282,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111040,RNA-Seq,182,477640436,PRJNA309383,SAMN04432329,227151902,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539352,GFP+,GSM2043283,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043283,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111041,RNA-Seq,182,798794724,PRJNA309383,SAMN04432330,347764726,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539353,GFP+,GSM2043284,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043284,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111042,RNA-Seq,182,1126952008,PRJNA309383,SAMN04432331,494156477,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539354,GFP+,GSM2043285,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043285,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111043,RNA-Seq,182,1310600564,PRJNA309383,SAMN04432332,598745425,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539355,GFP+,GSM2043286,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043286,whole-cell RNA-seq,DGC_PTZ_whole-cell,SRP068706,Prox1-GFP,PTZ
SRR3111044,RNA-Seq,182,840283808,PRJNA309383,SAMN04432333,363058799,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539356,GFP+,GSM2043287,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043287,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
SRR3111045,RNA-Seq,182,2328483430,PRJNA309383,SAMN04432334,1051127019,dentate granule cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1539357,GFP+,GSM2043288,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-04-17T00:00:00Z,GSM2043288,whole-cell RNA-seq,DGC_Saline_whole-cell,SRP068706,Prox1-GFP,Saline
