Symbol_hg	Symbol_mm	ID
58	ADAM11	Adam11	ADAM11_Adam11
59	ADAM12	Adam12	ADAM12_Adam12
60	ADAM15	Adam15	ADAM15_Adam15
61	ADAM17	Adam17	ADAM17_Adam17
62	ADAM19	Adam19	ADAM19_Adam19
63	ADAM2	Adam2	ADAM2_Adam2
64	ADAM22	Adam22	ADAM22_Adam22
65	ADAM7	Adam7	ADAM7_Adam7
66	ADAM8	Adam8	ADAM8_Adam8
67	ADAM9	Adam9	ADAM9_Adam9
68	ADAMTS1	Adamts1	ADAMTS1_Adamts1
69	ADCY6	Adcy6	ADCY6_Adcy6
70	ADCY7	Adcy7	ADCY7_Adcy7
71	ADCY8	Adcy8	ADCY8_Adcy8
72	ADCY9	Adcy9	ADCY9_Adcy9
73	ADCYAP1	Adcyap1	ADCYAP1_Adcyap1
74	ADCYAP1R1	Adcyap1r1	ADCYAP1R1_Adcyap1r1
75	ADD1	Add1	ADD1_Add1
76	ADD2	Add2	ADD2_Add2
77	PLIN2	Plin2	PLIN2_Plin2
78	ADH1B	Adh1	ADH1B_Adh1
79	ADH7	Adh7	ADH7_Adh7
80	ADH5	Adh5	ADH5_Adh5
81	ADK	Adk	ADK_Adk
82	ADM	Adm	ADM_Adm
83	GPR182	Gpr182	GPR182_Gpr182
84	CFD	Cfd	CFD_Cfd
85	ADNP	Adnp	ADNP_Adnp
86	ADORA1	Adora1	ADORA1_Adora1
87	ADORA2A	Adora2a	ADORA2A_Adora2a
88	ADORA2B	Adora2b	ADORA2B_Adora2b
89	ADORA3	Adora3	ADORA3_Adora3
90	ADPRH	Adprh	ADPRH_Adprh
91	PARP1	Parp1	PARP1_Parp1
92	PARP2	Parp2	PARP2_Parp2
93	ADRA1B	Adra1b	ADRA1B_Adra1b
94	ADRA1A	Adra1a	ADRA1A_Adra1a
95	ADRA1D	Adra1d	ADRA1D_Adra1d
96	ADRA2A	Adra2a	ADRA2A_Adra2a
97	ADRA2B	Adra2b	ADRA2B_Adra2b
98	ADRA2C	Adra2c	ADRA2C_Adra2c
99	ADRB1	Adrb1	ADRB1_Adrb1
100	ADRB2	Adrb2	ADRB2_Adrb2
101	ADRB3	Adrb3	ADRB3_Adrb3
102	ADSL	Adsl	ADSL_Adsl
103	AVIL	Avil	AVIL_Avil
104	AEBP1	Aebp1	AEBP1_Aebp1
105	AEBP2	Aebp2	AEBP2_Aebp2
106	CRISP3	Crisp1	CRISP3_Crisp1
107	AFP	Afp	AFP_Afp
108	AGA	Aga	AGA_Aga
109	ACAN	Acan	ACAN_Acan
110	AGER	Ager	AGER_Ager
111	ANGPT1	Angpt1	ANGPT1_Angpt1
112	ANGPT2	Angpt2	ANGPT2_Angpt2
113	ANGPT4	Angpt4	ANGPT4_Angpt4
114	AGRN	Agrn	AGRN_Agrn
115	AGRP	Agrp	AGRP_Agrp
116	GLA	Gla	GLA_Gla
117	AGT	Agt	AGT_Agt
118	AGTR1	Agtr1a	AGTR1_Agtr1a
119	AGTR2	Agtr2	AGTR2_Agtr2
120	AGTRAP	Agtrap	AGTRAP_Agtrap
121	AGXT	Agxt	AGXT_Agxt
122	NR0B1	Nr0b1	NR0B1_Nr0b1
123	AHCY	Gm4737	AHCY_Gm4737
124	AHR	Ahr	AHR_Ahr
125	AHRR	Ahrr	AHRR_Ahrr
126	AHSG	Ahsg	AHSG_Ahsg
127	AICDA	Aicda	AICDA_Aicda
128	AIF1	Aif1	AIF1_Aif1
129	CRYBG1	Crybg1	CRYBG1_Crybg1
130	AIP	Aip	AIP_Aip
131	AIRE	Aire	AIRE_Aire
132	AK1	Ak1	AK1_Ak1
133	AK2	Ak2	AK2_Ak2
134	AK4	Ak4	AK4_Ak4
135	AKAP1	Akap1	AKAP1_Akap1
136	AKAP3	Akap3	AKAP3_Akap3
137	AKAP4	Akap4	AKAP4_Akap4
138	ALPL	Alpl	ALPL_Alpl
139	ALPI	Akp3	ALPI_Akp3
140	AKT1	Akt1	AKT1_Akt1
141	AKT2	Akt2	AKT2_Akt2
142	ALAS1	Alas1	ALAS1_Alas1
143	ALAS2	Alas2	ALAS2_Alas2
144	ALB	Alb	ALB_Alb
145	ALCAM	Alcam	ALCAM_Alcam
146	ABCD1	Abcd1	ABCD1_Abcd1
147	ALDH1A1	Aldh1a1	ALDH1A1_Aldh1a1
148	ALDH2	Aldh2	ALDH2_Aldh2
149	ALDH3A1	Aldh3a1	ALDH3A1_Aldh3a1
150	ALDH3A2	Aldh3a2	ALDH3A2_Aldh3a2
151	ALDOA	Aldoa	ALDOA_Aldoa
152	ALDOC	Aldoc	ALDOC_Aldoc
153	AKR1B1	Akr1b3	AKR1B1_Akr1b3
154	ALK	Alk	ALK_Alk
155	ALOX12	Alox12	ALOX12_Alox12
156	ALOX12B	Alox12b	ALOX12B_Alox12b
157	ALOX15	Alox15	ALOX15_Alox15
158	ALOX15B	Alox8	ALOX15B_Alox8
159	ALOX5	Alox5	ALOX5_Alox5
160	ALOX5AP	Alox5ap	ALOX5AP_Alox5ap
161	GFER	Gfer	GFER_Gfer
162	ALX3	Alx3	ALX3_Alx3
163	ALX4	Alx4	ALX4_Alx4
164	AMBN	Ambn	AMBN_Ambn
165	AMBP	Ambp	AMBP_Ambp
166	AMELX	Amelx	AMELX_Amelx
167	AMH	Amh	AMH_Amh
168	AMPD3	Ampd3	AMPD3_Ampd3
169	MAT1A	Mat1a	MAT1A_Mat1a
170	AMY2B	Amy1	AMY2B_Amy1
171	ANG	Ang	ANG_Ang
172	ANKH	Ank	ANKH_Ank
173	ANK1	Ank1	ANK1_Ank1
174	ANK3	Ank3	ANK3_Ank3
175	ANKFY1	Ankfy1	ANKFY1_Ankfy1
176	ANP32A	Anp32a	ANP32A_Anp32a
177	SLC25A4	Slc25a4	SLC25A4_Slc25a4
178	SLC25A5	Slc25a5	SLC25A5_Slc25a5
179	ANXA11	Anxa11	ANXA11_Anxa11
180	ANXA3	Anxa3	ANXA3_Anxa3
181	ANXA4	Anxa4	ANXA4_Anxa4
182	ANXA5	Anxa5	ANXA5_Anxa5
183	ANXA6	Anxa6	ANXA6_Anxa6
184	ANXA7	Anxa7	ANXA7_Anxa7
185	ANXA8L1	Anxa8	ANXA8L1_Anxa8
186	AOC3	Aoc3	AOC3_Aoc3
187	PRDX3	Prdx3	PRDX3_Prdx3
188	PRDX6	Prdx6	PRDX6_Prdx6
189	AOX1	Aox1	AOX1_Aox1
190	AP1B1	Ap1b1	AP1B1_Ap1b1
191	AP1G1	Ap1g1	AP1G1_Ap1g1
192	AP1G2	Ap1g2	AP1G2_Ap1g2
193	AP1M1	Ap1m1	AP1M1_Ap1m1
194	AP1M2	Ap1m2	AP1M2_Ap1m2
195	AP1S1	Ap1s1	AP1S1_Ap1s1
196	FABP4	Fabp4	FABP4_Fabp4
197	AP2A1	Ap2a1	AP2A1_Ap2a1
198	AP2A2	Ap2a2	AP2A2_Ap2a2
199	AP2M1	Ap2m1	AP2M1_Ap2m1
200	AP3B1	Ap3b1	AP3B1_Ap3b1
201	AP3B2	Ap3b2	AP3B2_Ap3b2
202	AP3D1	Ap3d1	AP3D1_Ap3d1
203	AP3S1	Ap3s1	AP3S1_Ap3s1
204	AP3S2	Ap3s2	AP3S2_Ap3s2
205	AP4M1	Ap4m1	AP4M1_Ap4m1
206	AP4S1	Ap4s1	AP4S1_Ap4s1
207	APAF1	Apaf1	APAF1_Apaf1
208	APBA2	Apba2	APBA2_Apba2
209	APBB1	Apbb1	APBB1_Apbb1
210	APBB2	Apbb2	APBB2_Apbb2
211	APC	Apc	APC_Apc
212	SPEG	Speg	SPEG_Speg
213	APEX1	Apex1	APEX1_Apex1
214	ATG5	Atg5	ATG5_Atg5
215	BIRC3	Birc3	BIRC3_Birc3
216	BIRC2	Birc2	BIRC2_Birc2
217	XIAP	Xiap	XIAP_Xiap
218	BIRC5	Birc5	BIRC5_Birc5
219	API5	Api5	API5_Api5
220	CD5L	Cd5l	CD5L_Cd5l
221	APLP1	Aplp1	APLP1_Aplp1
222	APLP2	Aplp2	APLP2_Aplp2
223	APOA1	Apoa1	APOA1_Apoa1
224	APOA2	Apoa2	APOA2_Apoa2
225	APOA4	Apoa4	APOA4_Apoa4
226	APOBEC1	Apobec1	APOBEC1_Apobec1
227	APOBEC2	Apobec2	APOBEC2_Apobec2
228	APOC1	Apoc1	APOC1_Apoc1
229	APOC2	Apoc2	APOC2_Apoc2
230	APOC3	Apoc3	APOC3_Apoc3
231	APOD	Apod	APOD_Apod
232	APOE	Apoe	APOE_Apoe
233	APOH	Apoh	APOH_Apoh
234	NR2F2	Nr2f2	NR2F2_Nr2f2
235	APP	App	APP_App
236	APRT	Aprt	APRT_Aprt
237	AQP1	Aqp1	AQP1_Aqp1
238	AQP2	Aqp2	AQP2_Aqp2
239	AQP3	Aqp3	AQP3_Aqp3
240	AQP4	Aqp4	AQP4_Aqp4
241	AQP5	Aqp5	AQP5_Aqp5
242	AQP6	Aqp6	AQP6_Aqp6
243	AQP7	Aqp7	AQP7_Aqp7
244	AQP8	Aqp8	AQP8_Aqp8
245	AQR	Aqr	AQR_Aqr
246	AR	Ar	AR_Ar
247	ARAF	Araf	ARAF_Araf
248	RPLP0	Rplp0	RPLP0_Rplp0
249	ARC	Arc	ARC_Arc
250	AREG	Areg	AREG_Areg
251	ARF1	Arf1	ARF1_Arf1
252	ARF3	Arf3	ARF3_Arf3
253	ARF4	Arf4	ARF4_Arf4
254	ARF5	Arf5	ARF5_Arf5
255	ARF6	Arf6	ARF6_Arf6
256	ARG1	Arg1	ARG1_Arg1
257	ARG2	Arg2	ARG2_Arg2
258	RHOA	Rhoa	RHOA_Rhoa
259	RHOB	Rhob	RHOB_Rhob
260	RHOC	Rhoc	RHOC_Rhoc
261	RHOD	Rhod	RHOD_Rhod
262	ARHGAP5	Arhgap5	ARHGAP5_Arhgap5
263	ARHGAP6	Arhgap6	ARHGAP6_Arhgap6
264	ARHGDIB	Arhgdib	ARHGDIB_Arhgdib
265	RND2	Rnd2	RND2_Rnd2
266	PHOX2A	Phox2a	PHOX2A_Phox2a
267	ARL4A	Arl4a	ARL4A_Arl4a
268	ARNT	Arnt	ARNT_Arnt
269	ARNT2	Arnt2	ARNT2_Arnt2
270	ARNTL	Arntl	ARNTL_Arntl
271	ARPC1B	Arpc1b	ARPC1B_Arpc1b
272	ART1	Art1	ART1_Art1
273	ART5	Art5	ART5_Art5
274	ARTN	Artn	ARTN_Artn
275	ARVCF	Arvcf	ARVCF_Arvcf
276	ARX	Arx	ARX_Arx
277	ARSB	Arsb	ARSB_Arsb
278	ARSA	Arsa	ARSA_Arsa
279	ASAH1	Asah1	ASAH1_Asah1
280	ASGR1	Asgr1	ASGR1_Asgr1
281	ASGR2	Asgr2	ASGR2_Asgr2
282	RAB27A	Rab27a	RAB27A_Rab27a
283	ASS1	Ass1	ASS1_Ass1
284	ASTN1	Astn1	ASTN1_Astn1
285	SERPINC1	Serpinc1	SERPINC1_Serpinc1
286	ZFHX3	Zfhx3	ZFHX3_Zfhx3
287	ATE1	Ate1	ATE1_Ate1
288	ATF1	Atf1	ATF1_Atf1
289	ATF2	Atf2	ATF2_Atf2
290	ATF3	Atf3	ATF3_Atf3
291	ATF4	Atf4	ATF4_Atf4
292	ATM	Atm	ATM_Atm
293	ATOH1	Atoh1	ATOH1_Atoh1
294	NEUROD6	Neurod6	NEUROD6_Neurod6
295	NEUROD4	Neurod4	NEUROD4_Neurod4
296	NEUROG2	Neurog2	NEUROG2_Neurog2
297	NEUROG3	Neurog3	NEUROG3_Neurog3
298	ATOX1	Atox1	ATOX1_Atox1
299	ATP1A1	Atp1a1	ATP1A1_Atp1a1
300	ATP1B1	Atp1b1	ATP1B1_Atp1b1
301	ATP1B2	Atp1b2	ATP1B2_Atp1b2
302	ATP1B3	Atp1b3	ATP1B3_Atp1b3
303	FXYD2	Fxyd2	FXYD2_Fxyd2
304	ATP2A1	Atp2a1	ATP2A1_Atp2a1
305	ATP2A2	Atp2a2	ATP2A2_Atp2a2
306	ATP2B2	Atp2b2	ATP2B2_Atp2b2
307	ATP4A	Atp4a	ATP4A_Atp4a
308	ATP4B	Atp4b	ATP4B_Atp4b
309	ATP5F1A	Atp5a1	ATP5F1A_Atp5a1
310	ATP5F1B	Atp5b	ATP5F1B_Atp5b
311	ATP5F1C	Atp5c1	ATP5F1C_Atp5c1
312	ATP5MC1	Atp5g1	ATP5MC1_Atp5g1
313	ATP5PF	Atp5j	ATP5PF_Atp5j
314	ATP5ME	Atp5k	ATP5ME_Atp5k
315	ATP6V1A	Atp6v1a	ATP6V1A_Atp6v1a
316	ATP6V1B2	Atp6v1b2	ATP6V1B2_Atp6v1b2
317	ATP6V0D1	Atp6v0d1	ATP6V0D1_Atp6v0d1
318	ATP6V1E1	Atp6v1e1	ATP6V1E1_Atp6v1e1
319	ATP6V0E1	Atp6v0e	ATP6V0E1_Atp6v0e
320	ATP6V0A1	Atp6v0a1	ATP6V0A1_Atp6v0a1
321	ATP7A	Atp7a	ATP7A_Atp7a
322	ATP7B	Atp7b	ATP7B_Atp7b
323	ATP8A1	Atp8a1	ATP8A1_Atp8a1
324	ATP9A	Atp9a	ATP9A_Atp9a
325	ATP10A	Atp10a	ATP10A_Atp10a
326	ATP5IF1	Atpif1	ATP5IF1_Atpif1
327	ATP6V0C	Atp6v0c	ATP6V0C_Atp6v0c
328	SLC7A1	Slc7a1	SLC7A1_Slc7a1
329	SLC7A2	Slc7a2	SLC7A2_Slc7a2
330	SLC7A3	Slc7a3	SLC7A3_Slc7a3
331	ATRN	Atrn	ATRN_Atrn
332	HNRNPD	Hnrnpd	HNRNPD_Hnrnpd
333	AUH	Auh	AUH_Auh
334	AUP1	Aup1	AUP1_Aup1
335	PCDH15	Pcdh15	PCDH15_Pcdh15
336	AVP	Avp	AVP_Avp
337	AVPR2	Avpr2	AVPR2_Avpr2
338	AXIN1	Axin1	AXIN1_Axin1
339	AXIN2	Axin2	AXIN2_Axin2
340	AZGP1	Azgp1	AZGP1_Azgp1
341	CEP131	Cep131	CEP131_Cep131
342	B2M	B2m	B2M_B2m
343	BAAT	Baat	BAAT_Baat
344	BACH1	Bach1	BACH1_Bach1
345	BACH2	Bach2	BACH2_Bach2
346	BAD	Bad	BAD_Bad
347	BAG1	Bag1	BAG1_Bag1
348	BAK1	Bak1	BAK1_Bak1
349	NKX3-2	Nkx3-2	NKX3-2_Nkx3-2
350	BARD1	Bard1	BARD1_Bard1
351	BARX1	Barx1	BARX1_Barx1
352	BARX2	Barx2	BARX2_Barx2
353	BAX	Bax	BAX_Bax
354	BCL6B	Bcl6b	BCL6B_Bcl6b
355	BCAN	Bcan	BCAN_Bcan
356	BCAP29	Bcap29	BCAP29_Bcap29
357	PHB2	Phb2	PHB2_Phb2
358	BCAT1	Bcat1	BCAT1_Bcat1
359	BCAT2	Bcat2	BCAT2_Bcat2
360	BCHE	Bche	BCHE_Bche
361	BCKDHA	Bckdha	BCKDHA_Bckdha
362	BCKDHB	Bckdhb	BCKDHB_Bckdhb
363	BCKDK	Bckdk	BCKDK_Bckdk
364	BCL10	Bcl10	BCL10_Bcl10
365	BCL2	Bcl2	BCL2_Bcl2
366	BCL2A1	Bcl2a1d	BCL2A1_Bcl2a1d
367	BCL2L1	Bcl2l1	BCL2L1_Bcl2l1
368	BCL2L10	Bcl2l10	BCL2L10_Bcl2l10
369	BCL2L2	Bcl2l2	BCL2L2_Bcl2l2
370	BCL3	Bcl3	BCL3_Bcl3
371	BCL6	Bcl6	BCL6_Bcl6
372	BCL7B	Bcl7b	BCL7B_Bcl7b
373	BCL7C	Bcl7c	BCL7C_Bcl7c
374	OPN1SW	Opn1sw	OPN1SW_Opn1sw
375	BDKRB1	Bdkrb1	BDKRB1_Bdkrb1
376	BDKRB2	Bdkrb2	BDKRB2_Bdkrb2
377	BDNF	Bdnf	BDNF_Bdnf
378	BET1	Bet1	BET1_Bet1
379	BEX1	Bex2	BEX1_Bex2
380	BEX3	Bex3	BEX3_Bex3
381	BFSP1	Bfsp1	BFSP1_Bfsp1
382	GLB1	Glb1	GLB1_Glb1
383	BGLAP	Bglap2	BGLAP_Bglap2
384	BGN	Bgn	BGN_Bgn
385	BHMT	Bhmt	BHMT_Bhmt
386	BICD1	Bicd1	BICD1_Bicd1
387	BID	Bid	BID_Bid
388	HRK	Hrk	HRK_Hrk
389	BIK	Bik	BIK_Bik
390	BCL2L11	Bcl2l11	BCL2L11_Bcl2l11
391	FABP7	Fabp7	FABP7_Fabp7
392	PRDM1	Prdm1	PRDM1_Prdm1
393	BLK	Blk	BLK_Blk
394	BLM	Blm	BLM_Blm
395	CXCR5	Cxcr5	CXCR5_Cxcr5
396	BMP1	Bmp1	BMP1_Bmp1
397	BMP10	Bmp10	BMP10_Bmp10
398	BMP15	Bmp15	BMP15_Bmp15
399	BMP2	Bmp2	BMP2_Bmp2
400	BMP4	Bmp4	BMP4_Bmp4
401	BMP5	Bmp5	BMP5_Bmp5
402	BMP6	Bmp6	BMP6_Bmp6
403	BMP7	Bmp7	BMP7_Bmp7
404	BMP8A	Bmp8a	BMP8A_Bmp8a
405	GDF2	Gdf2	GDF2_Gdf2
406	BMPR1A	Bmpr1a	BMPR1A_Bmpr1a
407	BMPR1B	Bmpr1b	BMPR1B_Bmpr1b
408	BMPR2	Bmpr2	BMPR2_Bmpr2
409	BMX	Bmx	BMX_Bmx
410	BNC1	Bnc1	BNC1_Bnc1
411	BNIP2	Bnip2	BNIP2_Bnip2
412	BNIP3	Bnip3	BNIP3_Bnip3
413	BNIP3L	Bnip3l	BNIP3L_Bnip3l
414	SMYD1	Smyd1	SMYD1_Smyd1
415	BOP1	Bop1	BOP1_Bop1
416	BST1	Bst1	BST1_Bst1
417	BPGM	Bpgm	BPGM_Bpgm
418	BRCA1	Brca1	BRCA1_Brca1
419	BRCA2	Brca2	BRCA2_Brca2
420	ZFP36L1	Zfp36l1	ZFP36L1_Zfp36l1
421	ZFP36L2	Zfp36l2	ZFP36L2_Zfp36l2
422	BRS3	Brs3	BRS3_Brs3
423	BIRC6	Birc6	BIRC6_Birc6
424	CHIC1	Chic1	CHIC1_Chic1
425	BSG	Bsg	BSG_Bsg
426	BSN	Bsn	BSN_Bsn
427	BTC	Btc	BTC_Btc
428	KLF5	Klf5	KLF5_Klf5
429	BTG1	Btg1	BTG1_Btg1
430	BTG2	Btg2	BTG2_Btg2
431	BTG3	Btg3	BTG3_Btg3
432	BTK	Btk	BTK_Btk
433	BTN1A1	Btn1a1	BTN1A1_Btn1a1
434	BTRC	Btrc	BTRC_Btrc
435	BUB1	Bub1	BUB1_Bub1
436	BUB1B	Bub1b	BUB1B_Bub1b
437	BUB3	Bub3	BUB3_Bub3
438	COMMD3	Commd3	COMMD3_Commd3
439	TSPO	Tspo	TSPO_Tspo
440	SERPING1	Serping1	SERPING1_Serping1
441	C1QA	C1qa	C1QA_C1qa
442	C1QB	C1qb	C1QB_C1qb
443	C1QBP	C1qbp	C1QBP_C1qbp
444	C1QC	C1qc	C1QC_C1qc
445	C2	C2	C2_C2
446	CIITA	Ciita	CIITA_Ciita
447	C3	C3	C3_C3
448	C3AR1	C3ar1	C3AR1_C3ar1
449	C4B	C4b	C4B_C4b
450	C5AR1	C5ar1	C5AR1_C5ar1
451	C6	C6	C6_C6
452	C9	C9	C9_C9
453	HYOU1	Hyou1	HYOU1_Hyou1
454	CAB39	Cab39	CAB39_Cab39
455	CACNA1A	Cacna1a	CACNA1A_Cacna1a
456	CACNA1B	Cacna1b	CACNA1B_Cacna1b
457	CACNA1C	Cacna1c	CACNA1C_Cacna1c
458	CACNA1D	Cacna1d	CACNA1D_Cacna1d
459	CACNA1E	Cacna1e	CACNA1E_Cacna1e
460	CACNA1G	Cacna1g	CACNA1G_Cacna1g
461	CACNA1S	Cacna1s	CACNA1S_Cacna1s
462	CACNA2D1	Cacna2d1	CACNA2D1_Cacna2d1
463	CACNA2D3	Cacna2d3	CACNA2D3_Cacna2d3
464	CACNB1	Cacnb1	CACNB1_Cacnb1
465	CACNB2	Cacnb2	CACNB2_Cacnb2
466	CACNB3	Cacnb3	CACNB3_Cacnb3
467	CACNB4	Cacnb4	CACNB4_Cacnb4
468	CACNG1	Cacng1	CACNG1_Cacng1
469	CACNG2	Cacng2	CACNG2_Cacng2
470	CACYBP	Cacybp	CACYBP_Cacybp
471	PDIA4	Pdia4	PDIA4_Pdia4
472	DDR1	Ddr1	DDR1_Ddr1
473	ANXA2	Anxa2	ANXA2_Anxa2
474	CALB1	Calb1	CALB1_Calb1
475	CALB2	Calb2	CALB2_Calb2
476	S100G	S100g	S100G_S100g
477	CALCA	Calca	CALCA_Calca
478	CALCR	Calcr	CALCR_Calcr
479	CALM1	Calm1	CALM1_Calm1
480	CALM2	Calm2	CALM2_Calm2
481	CALM3	Calm3	CALM3_Calm3
482	ASPM	Aspm	ASPM_Aspm
483	CALR	Calr	CALR_Calr
484	CA8	Car8	CA8_Car8
485	CALU	Calu	CALU_Calu
486	CAMK2A	Camk2a	CAMK2A_Camk2a
487	CAMK2B	Camk2b	CAMK2B_Camk2b
488	CAMK2G	Camk2g	CAMK2G_Camk2g
489	CAMK4	Camk4	CAMK4_Camk4
490	CAMLG	Caml	CAMLG_Caml
491	CANX	Canx	CANX_Canx
492	CAP1	Cap1	CAP1_Cap1
493	CAPG	Capg	CAPG_Capg
494	CAPN1	Capn1	CAPN1_Capn1
495	CAPN2	Capn2	CAPN2_Capn2
496	CAPN3	Capn3	CAPN3_Capn3
497	CAPNS1	Capns1	CAPNS1_Capns1
498	CAPN5	Capn5	CAPN5_Capn5
499	CAPN6	Capn6	CAPN6_Capn6
500	CAPN7	Capn7	CAPN7_Capn7
501	CAPZA1	Capza1	CAPZA1_Capza1
502	CAPZA2	Capza2	CAPZA2_Capza2
503	CAPZA3	Capza3	CAPZA3_Capza3
504	CAPZB	Capzb	CAPZB_Capzb
505	CA1	Car1	CA1_Car1
506	CA11	Car11	CA11_Car11
507	CA2	Car2	CA2_Car2
508	CA3	Car3	CA3_Car3
509	CA4	Car4	CA4_Car4
510	CA5A	Car5a	CA5A_Car5a
511	CA6	Car6	CA6_Car6
512	CA7	Car7	CA7_Car7
513	NR1I3	Nr1i3	NR1I3_Nr1i3
514	CAT	Cat	CAT_Cat
515	CASK	Cask	CASK_Cask
516	CASP1	Casp1	CASP1_Casp1
517	CASP4	Casp4	CASP4_Casp4
518	CASP14	Casp14	CASP14_Casp14
519	CASP2	Casp2	CASP2_Casp2
520	CASP3	Casp3	CASP3_Casp3
521	CASP6	Casp6	CASP6_Casp6
522	CASP7	Casp7	CASP7_Casp7
523	CASP8	Casp8	CASP8_Casp8
524	CASP9	Casp9	CASP9_Casp9
525	CASQ1	Casq1	CASQ1_Casq1
526	CASQ2	Casq2	CASQ2_Casq2
527	CASR	Casr	CASR_Casr
528	CAST	Cast	CAST_Cast
529	CTNNA1	Ctnna1	CTNNA1_Ctnna1
530	CTNNA2	Ctnna2	CTNNA2_Ctnna2
531	CTNNB1	Ctnnb1	CTNNB1_Ctnnb1
532	CTNND1	Ctnnd1	CTNND1_Ctnnd1
533	CAV1	Cav1	CAV1_Cav1
534	CAV2	Cav2	CAV2_Cav2
535	CAV3	Cav3	CAV3_Cav3
536	RUNX2	Runx2	RUNX2_Runx2
537	RUNX1	Runx1	RUNX1_Runx1
538	RUNX1T1	Runx1t1	RUNX1T1_Runx1t1
539	CBFA2T2	Cbfa2t2	CBFA2T2_Cbfa2t2
540	CBFA2T3	Cbfa2t3	CBFA2T3_Cbfa2t3
541	RUNX3	Runx3	RUNX3_Runx3
542	CBFB	Cbfb	CBFB_Cbfb
543	SERPINA6	Serpina6	SERPINA6_Serpina6
544	CBL	Cbl	CBL_Cbl
545	CBLN1	Cbln1	CBLN1_Cbln1
546	CBLN2	Cbln2	CBLN2_Cbln2
547	SERPINH1	Serpinh1	SERPINH1_Serpinh1
548	CBR1	Cbr1	CBR1_Cbr1
549	CBS	Cbs	CBS_Cbs
550	CBX1	Cbx1	CBX1_Cbx1
551	CBX2	Cbx2	CBX2_Cbx2
552	CBX3	Cbx3	CBX3_Cbx3
553	CBX4	Cbx4	CBX4_Cbx4
554	CBX5	Cbx5	CBX5_Cbx5
555	RB1CC1	Rb1cc1	RB1CC1_Rb1cc1
556	CCK	Cck	CCK_Cck
557	CCKAR	Cckar	CCKAR_Cckar
558	CCKBR	Cckbr	CCKBR_Cckbr
559	CCNA1	Ccna1	CCNA1_Ccna1
560	CCNA2	Ccna2	CCNA2_Ccna2
561	CCNB2	Ccnb2	CCNB2_Ccnb2
562	CCND1	Ccnd1	CCND1_Ccnd1
563	CCND2	Ccnd2	CCND2_Ccnd2
564	CCND3	Ccnd3	CCND3_Ccnd3
565	CCNE1	Ccne1	CCNE1_Ccne1
566	CCNE2	Ccne2	CCNE2_Ccne2
567	CCNF	Ccnf	CCNF_Ccnf
