Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR12026962,RNA-Seq,200,179596200,PRJNA639859,SAMN15285012,53994634,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8559937,GSM4622443,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622443,m5_Homecage,SRP267579
SRR12026965,RNA-Seq,200,85897000,PRJNA639859,SAMN15285009,26209309,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8559940,GSM4622446,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622446,m5_Homecage,SRP267579
SRR12026967,RNA-Seq,200,375068400,PRJNA639859,SAMN15285007,113192548,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8559942,GSM4622448,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622448,m5_Homecage,SRP267579
SRR12026968,RNA-Seq,200,201923000,PRJNA639859,SAMN15285006,61023728,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8559943,GSM4622449,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622449,m5_Homecage,SRP267579
SRR12026970,RNA-Seq,200,460120600,PRJNA639859,SAMN15285004,137022847,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8559945,GSM4622451,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622451,m5_Context-Only,SRP267579
SRR12026973,RNA-Seq,200,819012800,PRJNA639859,SAMN15285001,242353453,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8560140,GSM4622454,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622454,m5_Context-Only,SRP267579
SRR12026975,RNA-Seq,200,902077200,PRJNA639859,SAMN15284999,268664302,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8560142,GSM4622456,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622456,m5_Context-Only,SRP267579
SRR12026977,RNA-Seq,200,1154007200,PRJNA639859,SAMN15284997,343337463,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8560144,GSM4622458,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622458,m5_Context-Only,SRP267579
SRR12026978,RNA-Seq,200,684142000,PRJNA639859,SAMN15284996,203459018,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8560145,GSM4622459,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622459,m5_Context-Only,SRP267579
SRR12026980,RNA-Seq,200,450550000,PRJNA639859,SAMN15286926,133997188,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8560147,GSM4622461,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622461,m5_Context-Only,SRP267579
SRR12026981,RNA-Seq,200,243500400,PRJNA639859,SAMN15287035,100368438,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8560148,GSM4622462,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622462,m5_Context-Only,SRP267579
SRR12026984,RNA-Seq,200,767594000,PRJNA639859,SAMN15287032,227458372,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8560151,GSM4622465,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622465,m5_Context-Only,SRP267579
SRR12026986,RNA-Seq,200,829956200,PRJNA639859,SAMN15287030,246967179,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8560153,GSM4622467,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622467,m5_Context-Only,SRP267579
SRR12026989,RNA-Seq,200,486566600,PRJNA639859,SAMN15286976,142757925,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8560156,GSM4622470,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622470,m5_Context-Only,SRP267579
SRR12026990,RNA-Seq,200,166582800,PRJNA639859,SAMN15286975,48729643,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8560157,GSM4622471,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622471,m5_Context-Only,SRP267579
SRR12026991,RNA-Seq,200,678219800,PRJNA639859,SAMN15286974,200376114,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8560158,GSM4622472,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622472,m5_Context-Only,SRP267579
SRR12026993,RNA-Seq,200,887141000,PRJNA639859,SAMN15286972,264329068,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8560160,GSM4622474,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622474,m5_Context-Only,SRP267579
SRR12026996,RNA-Seq,200,382454200,PRJNA639859,SAMN15286969,114050115,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8560163,GSM4622477,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622477,m5_Context-Only,SRP267579
SRR12026998,RNA-Seq,200,580488000,PRJNA639859,SAMN15286967,172233147,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8560165,GSM4622479,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622479,m5_Context-Only,SRP267579
SRR12026999,RNA-Seq,200,349714600,PRJNA639859,SAMN15286966,106149214,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8560166,GSM4622480,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622480,m5_Context-Only,SRP267579
SRR12027003,RNA-Seq,200,290978200,PRJNA639859,SAMN15286962,86800826,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8560170,GSM4622484,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622484,m5_Context-Only,SRP267579
SRR12027006,RNA-Seq,200,715392200,PRJNA639859,SAMN15286959,212691362,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8558345,GSM4622487,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622487,m5_Context-Only,SRP267579
SRR12027008,RNA-Seq,200,876363800,PRJNA639859,SAMN15286957,260102104,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8558347,GSM4622489,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622489,m5_Context-Only,SRP267579
SRR12027010,RNA-Seq,200,474821400,PRJNA639859,SAMN15286955,139488851,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8558349,GSM4622491,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622491,m5_Context-Only,SRP267579
SRR12027012,RNA-Seq,200,776786000,PRJNA639859,SAMN15286953,237177935,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8558351,GSM4622493,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622493,m5_Context-Only,SRP267579
SRR12027014,RNA-Seq,200,268373800,PRJNA639859,SAMN15286951,80499472,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8558353,GSM4622495,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622495,m5_Context-Only,SRP267579
SRR12027016,RNA-Seq,200,279617000,PRJNA639859,SAMN15286949,83243171,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8558355,GSM4622497,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622497,m5_Context-Only,SRP267579
SRR12027019,RNA-Seq,200,431984600,PRJNA639859,SAMN15286884,129319124,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8558358,GSM4622500,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622500,m5_Context-Only,SRP267579
SRR12027021,RNA-Seq,200,107078800,PRJNA639859,SAMN15286882,31788807,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8558360,GSM4622502,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622502,m5_Context-Only,SRP267579
SRR12027023,RNA-Seq,200,114898400,PRJNA639859,SAMN15286880,33997231,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8558362,GSM4622504,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622504,m5_Context-Only,SRP267579
SRR12027026,RNA-Seq,200,442414000,PRJNA639859,SAMN15286877,132627906,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8558365,GSM4622507,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622507,m5_Context-Only,SRP267579
SRR12027028,RNA-Seq,200,455944800,PRJNA639859,SAMN15286875,134802834,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8558367,GSM4622509,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622509,m5_Context-Only,SRP267579
SRR12027030,RNA-Seq,200,669701800,PRJNA639859,SAMN15286873,201843145,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8558369,GSM4622511,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622511,m5_Context-Only,SRP267579
SRR12027031,RNA-Seq,200,561624800,PRJNA639859,SAMN15286872,167762201,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8558370,GSM4622512,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622512,m5_Context-Only,SRP267579
SRR12027034,RNA-Seq,200,852146200,PRJNA639859,SAMN15286869,288368811,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8558373,GSM4622515,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622515,m5_Context-Only,SRP267579
SRR12027036,RNA-Seq,200,217088400,PRJNA639859,SAMN15286867,64925390,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8558375,GSM4622517,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4622517,m5_Context-Only,SRP267579
SRR12027038,RNA-Seq,200,325295600,PRJNA639859,SAMN15284693,103854841,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8560873,GSM4619917,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619917,m2_Context-Only,SRP267579
SRR12027041,RNA-Seq,200,576407800,PRJNA639859,SAMN15284690,189086971,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8560876,GSM4619920,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619920,m2_Context-Only,SRP267579
SRR12027043,RNA-Seq,200,588806000,PRJNA639859,SAMN15284688,184998832,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8560878,GSM4619922,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619922,m2_Context-Only,SRP267579
SRR12027046,RNA-Seq,200,840284000,PRJNA639859,SAMN15284724,266516147,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8560881,GSM4619925,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619925,m2_Context-Only,SRP267579
SRR12027049,RNA-Seq,200,252153400,PRJNA639859,SAMN15284721,85759843,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8561044,GSM4619928,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619928,m2_Context-Only,SRP267579
SRR12027052,RNA-Seq,200,84134000,PRJNA639859,SAMN15284718,29254613,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8561047,GSM4619931,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619931,m2_Context-Only,SRP267579
SRR12027054,RNA-Seq,200,382571800,PRJNA639859,SAMN15284481,123458175,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8561049,GSM4619933,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619933,m2_Context-Only,SRP267579
SRR12027058,RNA-Seq,200,1236698800,PRJNA639859,SAMN15284477,392152901,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8561053,GSM4619937,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619937,m2_Context-Only,SRP267579
SRR12027061,RNA-Seq,200,619683000,PRJNA639859,SAMN15284474,196627030,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8561056,GSM4619940,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619940,m2_Context-Only,SRP267579
SRR12027065,RNA-Seq,200,374473000,PRJNA639859,SAMN15284511,123636182,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8561060,GSM4619944,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619944,m2_Context-Only,SRP267579
SRR12027068,RNA-Seq,200,1218455800,PRJNA639859,SAMN15284508,383862728,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX8561063,GSM4619947,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619947,m2_Context-Only,SRP267579
SRR12027070,RNA-Seq,200,639784400,PRJNA639859,SAMN15284506,204837472,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8561065,GSM4619949,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619949,m2_Context-Only,SRP267579
SRR12027072,RNA-Seq,200,293684600,PRJNA639859,SAMN15284504,94713276,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8561067,GSM4619951,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619951,m2_Context-Only,SRP267579
SRR12027073,RNA-Seq,200,482909400,PRJNA639859,SAMN15284503,152247769,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8561068,GSM4619952,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619952,m2_Context-Only,SRP267579
SRR12027074,RNA-Seq,200,188510000,PRJNA639859,SAMN15284502,76203203,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8561069,GSM4619953,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619953,m2_Context-Only,SRP267579
SRR12027076,RNA-Seq,200,803757000,PRJNA639859,SAMN15284495,255319629,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8561071,GSM4619955,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619955,m2_Context-Only,SRP267579
SRR12027078,RNA-Seq,200,151359800,PRJNA639859,SAMN15284500,48425368,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8561073,GSM4619957,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619957,m2_Context-Only,SRP267579
SRR12027079,RNA-Seq,200,731126200,PRJNA639859,SAMN15284499,241889001,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8561170,GSM4619958,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619958,m2_Context-Only,SRP267579
SRR12027081,RNA-Seq,200,451572600,PRJNA639859,SAMN15284497,141582134,Primary brain cells from muring mPFC,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8561172,GSM4619960,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619960,m2_Context-Only,SRP267579
SRR12027084,RNA-Seq,200,40591800,PRJNA639859,SAMN15283791,13920246,Primary brain cells from muring mPFC,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8561175,GSM4619963,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-18T00:00:00Z,GSM4619963,m2_Context-Only,SRP267579
