Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR4040332,12 weeks,RNA-Seq,64,8286592,PRJNA339170,SAMN05582186,4367748,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031443,GSM2282281,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282281,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040333,12 weeks,RNA-Seq,64,30212352,PRJNA339170,SAMN05582185,15707442,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031444,GSM2282282,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282282,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040334,12 weeks,RNA-Seq,64,34669248,PRJNA339170,SAMN05582184,18066433,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031445,GSM2282283,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282283,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040335,12 weeks,RNA-Seq,64,32048448,PRJNA339170,SAMN05582183,16713460,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031446,GSM2282284,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282284,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040336,12 weeks,RNA-Seq,64,36494720,PRJNA339170,SAMN05582182,19100742,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031447,GSM2282285,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282285,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040337,12 weeks,RNA-Seq,64,43909504,PRJNA339170,SAMN05582181,22871831,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031448,GSM2282286,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282286,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040338,12 weeks,RNA-Seq,64,42165952,PRJNA339170,SAMN05582180,21905170,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031449,GSM2282287,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282287,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040339,12 weeks,RNA-Seq,64,34500352,PRJNA339170,SAMN05582179,17902085,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031450,GSM2282288,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282288,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040340,12 weeks,RNA-Seq,64,22561408,PRJNA339170,SAMN05582178,11775916,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031451,GSM2282289,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282289,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040341,12 weeks,RNA-Seq,64,33561088,PRJNA339170,SAMN05582177,17538209,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031452,GSM2282290,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282290,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040342,12 weeks,RNA-Seq,64,34653440,PRJNA339170,SAMN05582176,18116390,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031453,GSM2282291,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282291,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040343,12 weeks,RNA-Seq,64,32893504,PRJNA339170,SAMN05582175,17246945,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031454,GSM2282292,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282292,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040344,12 weeks,RNA-Seq,64,29338240,PRJNA339170,SAMN05582174,15406345,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031455,GSM2282293,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282293,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040345,12 weeks,RNA-Seq,64,27724032,PRJNA339170,SAMN05582173,14553459,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031456,GSM2282294,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282294,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040346,12 weeks,RNA-Seq,64,39218368,PRJNA339170,SAMN05582172,20533154,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031457,GSM2282295,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282295,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040347,12 weeks,RNA-Seq,64,34036608,PRJNA339170,SAMN05582048,17868008,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031458,GSM2282296,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282296,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040348,12 weeks,RNA-Seq,64,33239168,PRJNA339170,SAMN05582047,17391491,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031459,GSM2282297,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282297,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040349,12 weeks,RNA-Seq,64,38786496,PRJNA339170,SAMN05582046,20240237,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031460,GSM2282298,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282298,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040350,12 weeks,RNA-Seq,64,39348544,PRJNA339170,SAMN05582042,20544960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031461,GSM2282299,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282299,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040351,12 weeks,RNA-Seq,64,34382464,PRJNA339170,SAMN05582041,17795705,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031462,GSM2282300,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282300,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040352,12 weeks,RNA-Seq,64,40536640,PRJNA339170,SAMN05582045,21028156,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031463,GSM2282301,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282301,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040353,12 weeks,RNA-Seq,64,36459712,PRJNA339170,SAMN05582044,18957128,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031464,GSM2282302,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282302,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040354,12 weeks,RNA-Seq,64,40680896,PRJNA339170,SAMN05582043,21240740,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031465,GSM2282303,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282303,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040355,12 weeks,RNA-Seq,64,38113536,PRJNA339170,SAMN05582040,19895589,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031466,GSM2282304,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282304,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040356,12 weeks,RNA-Seq,64,33384128,PRJNA339170,SAMN05582039,17370833,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031467,GSM2282305,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282305,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040357,12 weeks,RNA-Seq,64,45396224,PRJNA339170,SAMN05582038,23599282,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031468,GSM2282306,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282306,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040358,12 weeks,RNA-Seq,64,3360256,PRJNA339170,SAMN05582037,2069738,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031469,GSM2282307,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282307,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040359,12 weeks,RNA-Seq,64,41031616,PRJNA339170,SAMN05582036,21322808,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031470,GSM2282308,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282308,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040360,12 weeks,RNA-Seq,64,34572864,PRJNA339170,SAMN05582035,17931769,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031471,GSM2282309,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282309,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040361,12 weeks,RNA-Seq,64,45730880,PRJNA339170,SAMN05582034,23693068,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031472,GSM2282310,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282310,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040362,12 weeks,RNA-Seq,64,28491712,PRJNA339170,SAMN05582033,14788787,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031473,GSM2282311,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282311,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040363,12 weeks,RNA-Seq,64,33468224,PRJNA339170,SAMN05582032,17291638,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031474,GSM2282312,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282312,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040364,12 weeks,RNA-Seq,64,49042176,PRJNA339170,SAMN05582031,25394908,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031475,GSM2282313,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282313,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040365,12 weeks,RNA-Seq,64,30070592,PRJNA339170,SAMN05582030,15633873,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031476,GSM2282314,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282314,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040366,12 weeks,RNA-Seq,64,42969984,PRJNA339170,SAMN05582029,22419439,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031477,GSM2282315,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282315,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040367,12 weeks,RNA-Seq,64,34495168,PRJNA339170,SAMN05582028,17898525,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031478,GSM2282316,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282316,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040368,12 weeks,RNA-Seq,64,52976128,PRJNA339170,SAMN05582027,27542531,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031479,GSM2282317,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282317,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040369,12 weeks,RNA-Seq,64,41793728,PRJNA339170,SAMN05582026,21797041,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031480,GSM2282318,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282318,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040370,12 weeks,RNA-Seq,64,45881664,PRJNA339170,SAMN05582025,23826799,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031481,GSM2282319,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282319,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040371,12 weeks,RNA-Seq,64,52271232,PRJNA339170,SAMN05582024,27099932,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031482,GSM2282320,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282320,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040372,12 weeks,RNA-Seq,64,45456192,PRJNA339170,SAMN05582023,23576793,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031483,GSM2282321,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282321,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040373,12 weeks,RNA-Seq,64,30075904,PRJNA339170,SAMN05582022,15715814,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031484,GSM2282322,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282322,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040374,12 weeks,RNA-Seq,64,24332032,PRJNA339170,SAMN05582021,12626695,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031485,GSM2282323,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282323,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040375,12 weeks,RNA-Seq,64,30090240,PRJNA339170,SAMN05582020,15797161,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031486,GSM2282324,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282324,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040376,12 weeks,RNA-Seq,64,37028288,PRJNA339170,SAMN05582019,19300528,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031487,GSM2282325,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282325,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040377,12 weeks,RNA-Seq,64,9653888,PRJNA339170,SAMN05582251,5116964,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031488,GSM2282326,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282326,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040378,12 weeks,RNA-Seq,64,27338752,PRJNA339170,SAMN05582250,14396913,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031489,GSM2282327,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282327,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040379,12 weeks,RNA-Seq,64,26781952,PRJNA339170,SAMN05582249,14167734,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031490,GSM2282328,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282328,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040380,12 weeks,RNA-Seq,64,22604032,PRJNA339170,SAMN05582248,11885530,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031491,GSM2282329,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282329,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040381,12 weeks,RNA-Seq,64,34188864,PRJNA339170,SAMN05582247,17755239,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031492,GSM2282330,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282330,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040382,12 weeks,RNA-Seq,64,38146688,PRJNA339170,SAMN05582246,19824698,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031493,GSM2282331,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282331,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040383,12 weeks,RNA-Seq,64,36623104,PRJNA339170,SAMN05582245,19345787,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031494,GSM2282332,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282332,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040384,12 weeks,RNA-Seq,64,30128640,PRJNA339170,SAMN05582244,15570697,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031495,GSM2282333,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282333,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040385,12 weeks,RNA-Seq,64,34907456,PRJNA339170,SAMN05582243,18090717,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031496,GSM2282334,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282334,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040386,12 weeks,RNA-Seq,64,36523008,PRJNA339170,SAMN05582242,18943673,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031497,GSM2282335,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282335,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040387,12 weeks,RNA-Seq,64,38799680,PRJNA339170,SAMN05582241,20477713,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031498,GSM2282336,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282336,Mouse Hippocampus region,SRP082327,C57BL/6
SRR4040388,12 weeks,RNA-Seq,64,29806144,PRJNA339170,SAMN05582240,15851300,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2031499,GSM2282337,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-08-22T00:00:00Z,GSM2282337,Mouse Hippocampus region,SRP082327,C57BL/6
