"","sample_name","title","source_name","organism","donor_id","donor_sex","donor_genotype","injection_type","injection_target","injected_material","dissected_region","dissected_layer","facs_gating","facs_date","rna_amplification_set","sequencing_tube","sequencing_batch","sequencing_qc_pass_fail","cell_class","cell_subclass","cell_cluster","molecule","SRA_Run","GEO_Sample","GEO_Sample_Title","iegsum_activity","tPC1_score","scaled.tPC1_score","scaled.iegsum_activity","Fos","Arc","Npas4","Dusp1","Fosb","Nr4a1","Igf1","Gpd1"
"37","F2S4_151217_010_E01","F2S4_151217_010_E01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Pygm C1ql1","polyA RNA","SRR7335506","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",132.142080479852,39.4623449447015,1.42780160144865,1.32271392866048,1.46464436855815,-0.320633569434866,-0.373510623367559,0.567171355387654,2.31948592943784,0.341381520559428,1.32553185287044,0.786578731771067
"40","F2S4_151217_010_H01","F2S4_151217_010_H01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Sst","Sst Hpse Sema3c","polyA RNA","SRR7335540","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",116.290239294955,-1.97246088024433,-0.533112400318387,0.789484357284886,0.571951711585705,-0.320633569434866,2.42753203414974,0.828541865860921,-0.444875322622506,0.979390680239264,0.0950337611860779,-0.775497946516473
"41","F2S4_151217_013_A01","F2S4_151217_013_A01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp4 Mab21l1","polyA RNA","SRR7335551","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",72.3060987852231,28.42684198969,1.24804397655868,-0.690068971427039,0.686102994553693,-0.320633569434866,0.114798095094086,-1.21288044395544,-0.444875322622506,-0.758551398604891,1.42540736025934,1.15565631488391
"45","F2S4_151217_013_E01","F2S4_151217_013_E01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7335595","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",98.9781550081992,-22.8061605115784,0.420042724030989,0.207134636759069,0.609168318937937,-0.320633569434866,-0.373510623367559,-0.395232866932505,-0.444875322622506,-0.758551398604891,0.425715946221481,-0.775497946516473
"54","F2S4_151217_014_F01","F2S4_151217_014_F01","Primary Visual Cortex (VISp)","Mus musculus","222454","M","Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L5","RFP-positive","12/17/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Sst","Sst Chodl","polyA RNA","SRR7335695","GSM3189964","VISp_Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",45.3980147081526,23.139753001236,-0.130185049802575,-1.59521216404397,-1.11469236483278,-0.320633569434866,-0.373510623367559,0.517164713685962,-0.444875322622506,-0.758551398604891,0.305348973451719,-0.775497946516473
"57","F2S4_151223_004_A01","F2S4_151223_004_A01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7334082","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",91.0764924121877,-4.61256260668303,0.489368012261471,-0.0586641502764694,-0.0641968675032029,-0.320633569434866,-0.373510623367559,-0.965421170730928,-0.444875322622506,0.458801119216062,0.557548999709242,0.464750314318929
"58","F2S4_151223_004_B01","F2S4_151223_004_B01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Chat Htr1f","polyA RNA","SRR7334193","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",56.4566565042489,51.7096082499776,1.54136166531854,-1.2232178476647,0.555759786288353,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.19058669297419,0.994233637103538,1.53014657071096
"59","F2S4_151223_004_C01","F2S4_151223_004_C01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Ntn1 Npy2r","polyA RNA","SRR7334307","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",146.8400466482,26.6912667390793,1.12882151299612,1.81712906369906,0.937296178267762,-0.320633569434866,-0.373510623367559,-0.712527513697397,2.39541927777874,1.50663596150257,0.960402895694961,0.0526239621558884
"60","F2S4_151223_004_D01","F2S4_151223_004_D01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp6 Car10","polyA RNA","SRR7334418","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",59.9333778095704,46.285030851157,1.30520856879567,-1.10626672572215,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.181592649155576,0.362923409823348
"61","F2S4_151223_004_E01","F2S4_151223_004_E01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Crispld2 Kcne4","polyA RNA","SRR7334529","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",109.991988219753,37.4223659156525,1.1289608592375,0.577621666883637,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,3.17938494597827,-0.226117308420052,1.03459643223153,0.408007612347009
"62","F2S4_151223_004_F01","F2S4_151223_004_F01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Ntn1 Npy2r","polyA RNA","SRR7334541","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",114.717408772574,18.6127334088777,1.09273921513873,0.736576954572915,-0.417267778079231,-0.320633569434866,-0.373510623367559,-0.140667035434673,2.1381894108218,0.881455114503703,0.164359122839975,0.937490438745885
"63","F2S4_151223_004_G01","F2S4_151223_004_G01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7334552","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",60.4804124665446,-0.543885098828385,0.386621356756965,-1.08786538973451,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.248911439897144,-0.775497946516473
"64","F2S4_151223_004_H01","F2S4_151223_004_H01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L2/3","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Ptprt Pkp2","polyA RNA","SRR7334563","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",48.749728008849,44.7187973109294,1.37072283141484,-1.48246610345342,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.987315530332924,1.14865922738925
"65","F2S4_151223_005_A01","F2S4_151223_005_A01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Crispld2 Kcne4","polyA RNA","SRR7334574","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",78.8853192417159,22.9901387738822,0.880859118121838,-0.468754938370515,-0.624853979116412,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.433626008706483,1.09692856155104,1.05992357226646
"66","F2S4_151223_005_B01","F2S4_151223_005_B01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp6 Pltp","polyA RNA","SRR7334083","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",68.5737827170316,40.7930456727928,1.1550284359595,-0.815617876066338,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.020770941130514,1.78120537432889
"67","F2S4_151223_005_C01","F2S4_151223_005_C01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp4 Mab21l1","polyA RNA","SRR7334094","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",33.0907438932754,52.5260138532427,1.3107367479908,-2.00920828379268,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,1.63419521906406,1.07124264278809
"68","F2S4_151223_005_D01","F2S4_151223_005_D01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Gpc3 Slc18a3","polyA RNA","SRR7334105","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",69.5402967831288,35.5870481716289,1.28873695909676,-0.783105950468415,0.377385037936845,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,1.16901857456717,2.02130649929323
"69","F2S4_151223_005_E01","F2S4_151223_005_E01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7334116","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",84.9617544863211,-13.9713222485136,0.26268077209947,-0.264353763568228,-1.11469236483278,-0.320633569434866,-0.373510623367559,-0.21056461029694,-0.444875322622506,0.773295358289077,0.378807891202799,0.294561044126483
"70","F2S4_151223_005_F01","F2S4_151223_005_F01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Pvalb","Pvalb Reln Itm2a","polyA RNA","SRR7334127","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",91.3566831971103,-16.877688931942,-1.37337835629445,-0.0492389983080013,0.856553618308049,-0.320633569434866,-0.373510623367559,0.194947882303816,-0.444875322622506,-0.496647011940133,-1.70586161731121,-0.775497946516473
"71","F2S4_151223_005_G01","F2S4_151223_005_G01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp6 Pltp","polyA RNA","SRR7334138","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",59.7720085730905,52.6533493808024,1.29301363667588,-1.11169491843476,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-1.70586161731121,1.44388929798621
"73","F2S4_151223_006_A01","F2S4_151223_006_A01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Ptprt Pkp2","polyA RNA","SRR7334160","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",44.1894050157077,46.5862290721579,1.44717763693498,-1.6358677838389,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,1.35210659882118,1.80766722306955
"74","F2S4_151223_006_B01","F2S4_151223_006_B01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp4 Mab21l1","polyA RNA","SRR7334171","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",55.2181231729315,43.070301482825,1.36011382864731,-1.26488004889985,0.76822910894184,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.235199004567678,1.44153454387918,-0.118780298231492
"75","F2S4_151223_006_C01","F2S4_151223_006_C01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7334182","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",63.5071274705289,-9.12009231389343,0.289356917564793,-0.986051731281498,-1.11469236483278,-0.320633569434866,-0.373510623367559,-0.0976112613066873,-0.444875322622506,-0.758551398604891,0.416840185103907,-0.775497946516473
"76","F2S4_151223_006_D01","F2S4_151223_006_D01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Lamp5","Lamp5 Lsp1","polyA RNA","SRR7334194","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",74.0541806209739,-9.81332387119792,0.39468667017112,-0.631266406025682,-1.11469236483278,-0.320633569434866,-0.373510623367559,-0.611017425776245,-0.444875322622506,0.42804317529694,0.365326555482552,-0.57141210194794
"77","F2S4_151223_006_E01","F2S4_151223_006_E01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Lmo1 Myl1","polyA RNA","SRR7334205","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",112.567353069291,6.50437444782276,1.13158799114569,0.664252656863752,0.956656442796018,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,1.18095937090049,1.10202430347396,2.23137720188763
"78","F2S4_151223_006_F01","F2S4_151223_006_F01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp6 Pltp","polyA RNA","SRR7334216","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",90.0822081478853,41.6639567980301,1.20148032607081,-0.0921102191523406,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,-0.744284130108907,1.60764617164308
"79","F2S4_151223_006_G01","F2S4_151223_006_G01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Ptprt Pkp2","polyA RNA","SRR7334227","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",42.1974387918409,33.9922072477245,1.26009394452048,-1.70287421440793,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.833253016402133,1.85405871742059
"80","F2S4_151223_006_H01","F2S4_151223_006_H01","Primary Visual Cortex (VISp)","Mus musculus","223184","M","Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt","No Injection","No Injection","No Injection","VISp","L4","RFP-positive","12/23/2015","A8S4_160107_01","LS-14690","R8S4-160203","Pass","GABAergic","Vip","Vip Igfbp6 Pltp","polyA RNA","SRR7334241","GSM3189961","VISp_Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt_No Injection_1",38.4907314431866,43.1239956526047,1.23363038620046,-1.82756168431652,-1.11469236483278,-0.320633569434866,-0.373510623367559,-1.21288044395544,-0.444875322622506,-0.758551398604891,0.334641369190568,1.10756511718198
