Accession,Title,Cellgroup,ArcStatus,FosStatus,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2609403,35_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791766,SRX2791766,Fred H Gage,27-Jul-18
GSM2609404,36_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791767,SRX2791767,Fred H Gage,27-Jul-18
GSM2609405,37_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791768,SRX2791768,Fred H Gage,27-Jul-18
GSM2609406,38_HC_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791769,SRX2791769,Fred H Gage,27-Jul-18
GSM2609407,39_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791770,SRX2791770,Fred H Gage,27-Jul-18
GSM2609408,40_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791771,SRX2791771,Fred H Gage,27-Jul-18
GSM2609409,41_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791772,SRX2791772,Fred H Gage,27-Jul-18
GSM2609410,42_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791773,SRX2791773,Fred H Gage,27-Jul-18
GSM2609411,43_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791774,SRX2791774,Fred H Gage,27-Jul-18
GSM2609412,44_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791775,SRX2791775,Fred H Gage,27-Jul-18
GSM2609413,45_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791776,SRX2791776,Fred H Gage,27-Jul-18
GSM2609414,46_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791777,SRX2791777,Fred H Gage,27-Jul-18
GSM2609415,47_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791778,SRX2791778,Fred H Gage,27-Jul-18
GSM2609416,48_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791779,SRX2791779,Fred H Gage,27-Jul-18
GSM2609417,49_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791780,SRX2791780,Fred H Gage,27-Jul-18
GSM2609418,50_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791781,SRX2791781,Fred H Gage,27-Jul-18
GSM2609419,51_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791782,SRX2791782,Fred H Gage,27-Jul-18
GSM2609420,52_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791783,SRX2791783,Fred H Gage,27-Jul-18
GSM2609421,53_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791784,SRX2791784,Fred H Gage,27-Jul-18
GSM2609422,54_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791785,SRX2791785,Fred H Gage,27-Jul-18
GSM2609423,55_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791786,SRX2791786,Fred H Gage,27-Jul-18
GSM2609424,56_1hr_N_Ivy,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791787,SRX2791787,Fred H Gage,27-Jul-18
GSM2609425,57_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791788,SRX2791788,Fred H Gage,27-Jul-18
GSM2609426,58_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791789,SRX2791789,Fred H Gage,27-Jul-18
GSM2609427,59_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791790,SRX2791790,Fred H Gage,27-Jul-18
GSM2609428,60_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791791,SRX2791791,Fred H Gage,27-Jul-18
GSM2609429,61_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791792,SRX2791792,Fred H Gage,27-Jul-18
GSM2609430,62_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791793,SRX2791793,Fred H Gage,27-Jul-18
GSM2609431,63_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791794,SRX2791794,Fred H Gage,27-Jul-18
GSM2609432,64_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791795,SRX2791795,Fred H Gage,27-Jul-18
GSM2609433,65_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791796,SRX2791796,Fred H Gage,27-Jul-18
GSM2609434,66_1hr_N_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791797,SRX2791797,Fred H Gage,27-Jul-18
GSM2609435,67_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791798,SRX2791798,Fred H Gage,27-Jul-18
GSM2609436,68_1hr_F_Sub,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791799,SRX2791799,Fred H Gage,27-Jul-18
GSM2609437,69_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791800,SRX2791800,Fred H Gage,27-Jul-18
GSM2609438,70_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791801,SRX2791801,Fred H Gage,27-Jul-18
GSM2609439,71_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791802,SRX2791802,Fred H Gage,27-Jul-18
GSM2609440,72_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791803,SRX2791803,Fred H Gage,27-Jul-18
GSM2609441,73_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791804,SRX2791804,Fred H Gage,27-Jul-18
GSM2609442,74_HC_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791805,SRX2791805,Fred H Gage,27-Jul-18
GSM2609443,75_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791806,SRX2791806,Fred H Gage,27-Jul-18
GSM2609444,76_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791807,SRX2791807,Fred H Gage,27-Jul-18
GSM2609445,77_1hr_N_VIP,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791808,SRX2791808,Fred H Gage,27-Jul-18
GSM2609446,78_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791809,SRX2791809,Fred H Gage,27-Jul-18
GSM2609447,79_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791810,SRX2791810,Fred H Gage,27-Jul-18
GSM2609448,80_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791811,SRX2791811,Fred H Gage,27-Jul-18
GSM2609449,81_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791812,SRX2791812,Fred H Gage,27-Jul-18
GSM2609450,82_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791813,SRX2791813,Fred H Gage,27-Jul-18
GSM2609451,83_1hr_F_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791814,SRX2791814,Fred H Gage,27-Jul-18
GSM2609452,84_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791815,SRX2791815,Fred H Gage,27-Jul-18
GSM2609453,85_HC_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791816,SRX2791816,Fred H Gage,27-Jul-18
GSM2609454,86_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791817,SRX2791817,Fred H Gage,27-Jul-18
GSM2609455,87_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791818,SRX2791818,Fred H Gage,27-Jul-18
GSM2609456,88_1hr_N_CA1,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791819,SRX2791819,Fred H Gage,27-Jul-18
GSM2609457,89_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791820,SRX2791820,Fred H Gage,27-Jul-18
GSM2609458,90_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791821,SRX2791821,Fred H Gage,27-Jul-18
GSM2609459,91_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791822,SRX2791822,Fred H Gage,27-Jul-18
GSM2609460,92_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791823,SRX2791823,Fred H Gage,27-Jul-18
GSM2609461,93_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791824,SRX2791824,Fred H Gage,27-Jul-18
GSM2609462,94_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791825,SRX2791825,Fred H Gage,27-Jul-18
GSM2609463,95_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791826,SRX2791826,Fred H Gage,27-Jul-18
GSM2609464,96_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791827,SRX2791827,Fred H Gage,27-Jul-18
GSM2609465,97_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791828,SRX2791828,Fred H Gage,27-Jul-18
GSM2609466,98_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791829,SRX2791829,Fred H Gage,27-Jul-18
GSM2609467,99_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791830,SRX2791830,Fred H Gage,27-Jul-18
GSM2609468,100_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791831,SRX2791831,Fred H Gage,27-Jul-18
GSM2609469,101_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791832,SRX2791832,Fred H Gage,27-Jul-18
GSM2609470,102_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791833,SRX2791833,Fred H Gage,27-Jul-18
GSM2609471,103_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791834,SRX2791834,Fred H Gage,27-Jul-18
GSM2609472,104_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791835,SRX2791835,Fred H Gage,27-Jul-18
GSM2609473,105_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791836,SRX2791836,Fred H Gage,27-Jul-18
GSM2609474,106_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791837,SRX2791837,Fred H Gage,27-Jul-18
GSM2609475,107_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791838,SRX2791838,Fred H Gage,27-Jul-18
GSM2609476,108_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791839,SRX2791839,Fred H Gage,27-Jul-18
GSM2609477,109_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791840,SRX2791840,Fred H Gage,27-Jul-18
GSM2609478,110_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791841,SRX2791841,Fred H Gage,27-Jul-18
GSM2609479,111_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791842,SRX2791842,Fred H Gage,27-Jul-18
GSM2609480,112_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791843,SRX2791843,Fred H Gage,27-Jul-18
GSM2609481,113_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791844,SRX2791844,Fred H Gage,27-Jul-18
GSM2609482,114_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791845,SRX2791845,Fred H Gage,27-Jul-18
GSM2609483,115_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791846,SRX2791846,Fred H Gage,27-Jul-18
GSM2609484,116_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791847,SRX2791847,Fred H Gage,27-Jul-18
GSM2609485,117_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791848,SRX2791848,Fred H Gage,27-Jul-18
GSM2609486,118_1hr_F_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791849,SRX2791849,Fred H Gage,27-Jul-18
GSM2609487,119_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791850,SRX2791850,Fred H Gage,27-Jul-18
GSM2609488,120_1hr_N_DG,,,,SRA,Mus musculus,1,GPL17021,GSE98679,SRA Run Selector,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX2791851,SRX2791851,Fred H Gage,27-Jul-18
