Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,strain,Cell_type,Antibody,antibody_vendor/catalog
SRR2922187,3 months old,ChIP-Seq,GCF_000001635.20,50,1318633900,PRJNA302062,SAMN04263814,572415456,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430104,GSM1939081,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939081,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K9AC,Millipore 07-352
SRR2922188,3 months old,ChIP-Seq,GCF_000001635.20,50,2035139650,PRJNA302062,SAMN04263815,879478069,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430105,GSM1939082,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939082,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K9AC,Millipore 07-352
SRR2922189,3 months old,ChIP-Seq,GCF_000001635.20,50,1192014950,PRJNA302062,SAMN04263816,520434486,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430106,GSM1939083,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939083,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922190,3 months old,ChIP-Seq,GCF_000001635.20,50,1810107900,PRJNA302062,SAMN04263817,698244767,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430107,GSM1939084,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939084,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922191,3 months old,ChIP-Seq,GCF_000001635.20,50,1334898500,PRJNA302062,SAMN04263818,570095783,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430108,GSM1939085,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939085,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922192,3 months old,ChIP-Seq,GCF_000001635.20,50,1351833450,PRJNA302062,SAMN04263819,516953795,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430109,GSM1939086,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939086,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922193,3 months old,ChIP-Seq,GCF_000001635.20,50,1630988450,PRJNA302062,SAMN04263820,652373673,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430110,GSM1939087,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939087,male,Anterior Cingulate cortex,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922194,3 months old,ChIP-Seq,GCF_000001635.20,50,1852015200,PRJNA302062,SAMN04263821,750147521,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430111,GSM1939088,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939088,male,Anterior Cingulate cortex,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922195,3 months old,ChIP-Seq,GCF_000001635.20,50,1831106750,PRJNA302062,SAMN04263822,729985842,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430092,GSM1939089,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939089,male,Anterior Cingulate cortex,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922196,3 months old,ChIP-Seq,GCF_000001635.20,50,1737502200,PRJNA302062,SAMN04263823,694835965,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430093,GSM1939090,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939090,male,Anterior Cingulate cortex,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922197,3 months old,ChIP-Seq,GCF_000001635.20,50,1665064600,PRJNA302062,SAMN04263824,683928879,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430112,GSM1939091,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939091,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922198,3 months old,ChIP-Seq,GCF_000001635.20,50,1469429200,PRJNA302062,SAMN04263825,531004505,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430113,GSM1939092,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939092,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922199,3 months old,ChIP-Seq,GCF_000001635.20,50,1510611500,PRJNA302062,SAMN04263826,617431807,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430114,GSM1939093,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939093,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922200,3 months old,ChIP-Seq,GCF_000001635.20,50,1547961650,PRJNA302062,SAMN04263827,555755190,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430115,GSM1939094,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939094,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922201,3 months old,ChIP-Seq,GCF_000001635.20,50,1285012650,PRJNA302062,SAMN04263828,556315070,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430116,GSM1939095,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939095,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922202,3 months old,ChIP-Seq,GCF_000001635.20,50,1779539250,PRJNA302062,SAMN04263829,682342461,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430117,GSM1939096,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939096,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K79ME3,Abcam ab2621
SRR2922203,3 months old,ChIP-Seq,GCF_000001635.20,50,1374059300,PRJNA302062,SAMN04263830,590050284,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430118,GSM1939097,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939097,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922204,3 months old,ChIP-Seq,GCF_000001635.20,50,1751422750,PRJNA302062,SAMN04263831,673728939,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430119,GSM1939098,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939098,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K79ME3,Abcam ab2621
SRR2922205,3 months old,ChIP-Seq,GCF_000001635.20,50,1828592850,PRJNA302062,SAMN04263832,752315569,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430120,GSM1939099,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939099,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922206,3 months old,ChIP-Seq,GCF_000001635.20,50,2331573600,PRJNA302062,SAMN04263744,958601091,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430121,GSM1939100,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939100,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922207,3 months old,ChIP-Seq,GCF_000001635.20,50,1698054450,PRJNA302062,SAMN04263745,713035417,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430122,GSM1939101,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939101,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922208,3 months old,ChIP-Seq,GCF_000001635.20,50,1590641100,PRJNA302062,SAMN04263746,689894879,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430123,GSM1939102,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939102,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922209,3 months old,ChIP-Seq,GCF_000001635.20,50,1934491800,PRJNA302062,SAMN04263747,786717484,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430124,GSM1939103,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939103,male,Anterior Cingulate cortex,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922210,3 months old,ChIP-Seq,GCF_000001635.20,50,1916758700,PRJNA302062,SAMN04263748,784289111,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430125,GSM1939104,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939104,male,Anterior Cingulate cortex,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922211,3 months old,ChIP-Seq,GCF_000001635.20,50,1896684850,PRJNA302062,SAMN04263749,793288598,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430126,GSM1939105,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939105,male,Anterior Cingulate cortex,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922212,3 months old,ChIP-Seq,GCF_000001635.20,50,2025438700,PRJNA302062,SAMN04263750,844398586,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430127,GSM1939106,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939106,male,Anterior Cingulate cortex,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922213,3 months old,ChIP-Seq,GCF_000001635.20,50,1832365700,PRJNA302062,SAMN04263751,750061116,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430128,GSM1939107,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939107,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922214,3 months old,ChIP-Seq,GCF_000001635.20,50,2549109450,PRJNA302062,SAMN04263752,1051748321,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430129,GSM1939108,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939108,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922215,3 months old,ChIP-Seq,GCF_000001635.20,50,1119935150,PRJNA302062,SAMN04263753,412111999,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430130,GSM1939109,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939109,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922216,3 months old,ChIP-Seq,GCF_000001635.20,50,1700332500,PRJNA302062,SAMN04263754,735443932,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430131,GSM1939110,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939110,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922217,3 months old,ChIP-Seq,GCF_000001635.20,50,1968172000,PRJNA302062,SAMN04263755,810359911,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430132,GSM1939111,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939111,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922218,3 months old,ChIP-Seq,GCF_000001635.20,50,744339850,PRJNA302062,SAMN04263756,310148306,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430133,GSM1939112,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939112,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME3,Abcam ab8580
SRR2922219,3 months old,ChIP-Seq,GCF_000001635.20,50,1496756300,PRJNA302062,SAMN04263757,647012450,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430134,GSM1939113,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939113,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922220,3 months old,ChIP-Seq,GCF_000001635.20,50,1697868400,PRJNA302062,SAMN04263758,727172831,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430135,GSM1939114,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939114,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME3,Abcam ab8580
SRR2922221,3 months old,ChIP-Seq,GCF_000001635.20,50,2157847050,PRJNA302062,SAMN04263759,896324483,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430136,GSM1939115,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939115,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
SRR2922222,3 months old,ChIP-Seq,GCF_000001635.20,50,1862426150,PRJNA302062,SAMN04263760,734605136,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430137,GSM1939116,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939116,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
SRR2922223,3 months old,ChIP-Seq,GCF_000001635.20,50,2075323200,PRJNA302062,SAMN04263761,863119805,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430138,GSM1939117,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939117,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME1,Abcam ab8895
SRR2922224,3 months old,ChIP-Seq,GCF_000001635.20,50,1886796950,PRJNA302062,SAMN04263762,775658675,GEO,context 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430139,GSM1939118,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939118,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME1,Abcam ab8895
SRR2922225,3 months old,ChIP-Seq,GCF_000001635.20,50,1441081350,PRJNA302062,SAMN04263763,549414726,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430140,GSM1939119,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939119,male,Anterior Cingulate cortex,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
SRR2922226,3 months old,ChIP-Seq,GCF_000001635.20,50,1613463250,PRJNA302062,SAMN04263764,633727697,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430141,GSM1939120,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939120,male,Anterior Cingulate cortex,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
SRR2922227,3 months old,ChIP-Seq,GCF_000001635.20,50,1229657500,PRJNA302062,SAMN04263765,453313040,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430142,GSM1939121,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939121,male,Anterior Cingulate cortex,SRP066125,C56BL/6,non neuron,H3K4ME1,Abcam ab8895
SRR2922228,3 months old,ChIP-Seq,GCF_000001635.20,50,1318866350,PRJNA302062,SAMN04263766,483673457,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430143,GSM1939122,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939122,male,Anterior Cingulate cortex,SRP066125,C56BL/6,non neuron,H3K4ME1,Abcam ab8895
SRR2922229,3 months old,ChIP-Seq,GCF_000001635.20,50,1346445400,PRJNA302062,SAMN04263767,485142476,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430144,GSM1939123,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939123,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
SRR2922230,3 months old,ChIP-Seq,GCF_000001635.20,50,1572476350,PRJNA302062,SAMN04263768,562502075,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430145,GSM1939124,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939124,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
SRR2922231,3 months old,ChIP-Seq,GCF_000001635.20,50,1389709600,PRJNA302062,SAMN04263769,501391791,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430146,GSM1939125,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939125,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME1,Abcam ab8895
SRR2922232,3 months old,ChIP-Seq,GCF_000001635.20,50,1498247250,PRJNA302062,SAMN04263770,545502073,GEO,naive,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430147,GSM1939126,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939126,male,hippocampal CA1,SRP066125,C56BL/6,non neuron,H3K4ME1,Abcam ab8895
SRR2922233,3 months old,ChIP-Seq,GCF_000001635.20,50,1972971900,PRJNA302062,SAMN04263771,830773907,GEO,shock 1h,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1430148,GSM1939127,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Mus musculus,ILLUMINA,2015-11-24T00:00:00Z,GSM1939127,male,hippocampal CA1,SRP066125,C56BL/6,neuron,H3K4ME1,Abcam ab8895
